crash_date,borough,latitude,longitude,street,injured,killed,factor
2026-03-29,MANHATTAN,40.734188,-74.00742,,0.0,0.0,Driver Inattention/Distraction
2026-02-12,BROOKLYN,40.679634,-73.949585,NOSTRAND AVE,0.0,0.0,Unsafe Lane Changing
2026-01-24,QUEENS,40.74184,-73.881004,BROADWAY,0.0,0.0,Passing or Lane Usage Improper
2026-04-06,,40.65801,-73.92077,KINGS HWY,1.0,,Unspecified
2026-04-26,,40.7266,-73.78911,UNION TPKE,1.0,0.0,Driver Inattention/Distraction
2026-02-14,BROOKLYN,40.690765,-73.98334,,1.0,0.0,Unspecified
2026-03-03,BROOKLYN,40.67909,-73.90828,MOTHER GASTON BLVD,1.0,0.0,Unspecified
2026-04-02,BROOKLYN,40.66877,-73.90011,,0.0,0.0,Driver Inattention/Distraction
2026-03-17,QUEENS,40.733116,-73.870575,WOODHAVEN BLVD,1.0,0.0,Traffic Control Disregarded
2026-05-31,BROOKLYN,40.70195,-73.95869,PENN ST,1.0,,Unspecified
2026-04-15,MANHATTAN,40.722008,-73.987495,,0.0,0.0,Driver Inattention/Distraction
2026-02-05,BRONX,40.867607,-73.85188,ARNOW AVE,1.0,0.0,Unspecified
2026-04-30,BROOKLYN,40.67747,-73.90988,HERKIMER ST,0.0,0.0,Unspecified
2026-01-13,,40.763683,-73.77968,CLEARVIEW EXPRESSWAY,0.0,0.0,Unspecified
2026-01-30,QUEENS,40.679626,-73.859436,,0.0,0.0,Backing Unsafely
2026-02-19,,40.75108,-73.74915,LONG ISLAND EXPRESSWAY,1.0,0.0,Driver Inattention/Distraction
2026-04-26,QUEENS,40.74689,-73.9208,SKILLMAN AVE,0.0,0.0,Driver Inattention/Distraction
2026-01-29,BROOKLYN,40.695618,-73.94055,VERNON AVE,0.0,0.0,Unsafe Speed
2026-03-18,QUEENS,40.728546,-73.73632,BRADDOCK AVE,0.0,0.0,Driver Inattention/Distraction
2026-01-19,QUEENS,40.72014,-73.82061,77 RD,0.0,0.0,Unspecified
2026-05-11,QUEENS,40.72103,-73.9041,FLUSHING AVE,1.0,,Driver Inexperience
2026-02-07,QUEENS,40.752117,-73.94829,,0.0,0.0,Backing Unsafely
2026-05-29,BROOKLYN,40.63033,-73.93102,SCHENECTADY AVE,0.0,,Unspecified
2026-04-30,,40.584705,-73.943756,BEDFORD AVENUE,1.0,0.0,Traffic Control Disregarded
2026-04-28,,40.73195,-73.86343,JUNCTION BLVD,0.0,0.0,Unspecified
2026-03-06,BRONX,40.833965,-73.86289,WHITE PLAINS RD,0.0,0.0,Following Too Closely
2026-03-31,QUEENS,40.760925,-73.926476,,1.0,0.0,Driver Inattention/Distraction
2026-03-25,MANHATTAN,40.80373,-73.95778,W 114 ST,0.0,0.0,Driver Inattention/Distraction
2026-03-24,QUEENS,40.73361,-73.72143,COMMONWEALTH BLVD,0.0,0.0,Driver Inattention/Distraction
2026-01-26,,40.636066,-74.13612,CASTLETON AVE,0.0,0.0,Backing Unsafely
2026-05-11,BROOKLYN,40.674397,-73.95851,,1.0,,Driver Inattention/Distraction
2026-03-18,BRONX,40.82642,-73.89212,,0.0,0.0,Unspecified
2026-01-11,,40.83863,-73.93348,HARLEM RIVER DRIVE,1.0,0.0,Unsafe Lane Changing
2026-04-13,MANHATTAN,40.745007,-74.00695,,1.0,0.0,Passenger Distraction
2026-01-23,BROOKLYN,40.623592,-73.9758,MCDONALD AVE,0.0,0.0,View Obstructed/Limited
2026-03-23,QUEENS,40.745834,-73.88622,,0.0,0.0,Backing Unsafely
2026-01-24,MANHATTAN,40.8293,-73.947136,,0.0,0.0,Backing Unsafely
2026-05-21,MANHATTAN,40.71743,-73.99885,,0.0,,Driver Inattention/Distraction
2026-03-10,MANHATTAN,40.76525,-73.99509,11 AVE,1.0,0.0,Passing or Lane Usage Improper
2026-01-29,BROOKLYN,40.685642,-73.96509,,0.0,0.0,Passing Too Closely
2026-02-25,BROOKLYN,40.62453,-73.9722,,1.0,0.0,Backing Unsafely
2026-01-22,QUEENS,40.667744,-73.79586,,0.0,0.0,Backing Unsafely
2026-03-03,,40.673187,-73.824905,114 PL,0.0,0.0,Driver Inexperience
2026-05-07,BRONX,40.866173,-73.826416,,1.0,,Unspecified
2026-05-06,QUEENS,40.713818,-73.92084,METROPOLITAN AVE,1.0,,Unsafe Speed
2026-01-16,BROOKLYN,40.700054,-73.92458,WILSON AVE,1.0,0.0,Driver Inattention/Distraction
2026-05-06,BROOKLYN,40.64381,-73.915115,,0.0,,Passing Too Closely
2026-02-09,BRONX,40.85132,-73.90841,WALTON AVE,1.0,0.0,Driver Inattention/Distraction
2026-03-26,,40.886982,-73.91182,W 236 ST,0.0,0.0,Unspecified
2026-02-24,MANHATTAN,40.767365,-73.98061,,0.0,0.0,Unspecified
2026-01-13,BROOKLYN,40.608303,-73.9133,56 DR,0.0,0.0,Unspecified
2026-05-28,BRONX,40.898834,-73.8587,,0.0,,Driver Inattention/Distraction
2026-05-18,QUEENS,40.710518,-73.89966,,1.0,,Illnes
2026-01-31,QUEENS,40.706715,-73.855995,,0.0,0.0,Unspecified
2026-04-17,BRONX,40.895374,-73.863556,E 233 ST,0.0,0.0,Turning Improperly
2026-05-20,MANHATTAN,40.774654,-73.954094,E 81 ST,1.0,,Passing or Lane Usage Improper
2026-02-24,BROOKLYN,40.628815,-74.00934,67 ST,0.0,0.0,Passing Too Closely
2026-05-17,,40.684387,-73.74629,,0.0,,Driver Inexperience
2026-01-19,MANHATTAN,40.726185,-73.989426,2 AVE,1.0,0.0,Driver Inattention/Distraction
2026-02-04,QUEENS,40.69818,-73.839775,109 ST,1.0,0.0,Failure to Yield Right-of-Way
