MONTH,crashes,injured,killed
2012-07,16992,4855.0,22.0
2012-08,17142,4751.0,27.0
2012-09,16535,4689.0,26.0
2012-10,16864,4572.0,21.0
2012-11,15889,3995.0,14.0
2012-12,17123,4591.0,27.0
2013-01,15643,4043.0,29.0
2013-02,14399,3562.0,20.0
2013-03,16509,4187.0,23.0
2013-04,16439,4437.0,16.0
2013-05,18488,5025.0,16.0
2013-06,18205,5110.0,23.0
2013-07,17578,5087.0,24.0
2013-08,16759,4851.0,35.0
2013-09,16956,4994.0,26.0
2013-10,17713,4842.0,23.0
2013-11,17772,4705.0,36.0
2013-12,17281,4285.0,26.0
2014-01,16674,3921.0,23.0
2014-02,15738,3106.0,13.0
2014-03,15862,3857.0,18.0
2014-04,16372,4048.0,22.0
2014-05,18278,4661.0,26.0
2014-06,18411,4987.0,22.0
2014-07,17459,4605.0,29.0
2014-08,17094,4478.0,22.0
2014-09,17828,4465.0,28.0
2014-10,18086,4727.0,20.0
2014-11,16985,4245.0,26.0
2014-12,17259,4130.0,13.0
2015-01,16127,3485.0,16.0
2015-02,15714,3005.0,16.0
2015-03,17956,3681.0,13.0
2015-04,16794,3925.0,21.0
2015-05,19274,4827.0,29.0
2015-06,18826,4659.0,20.0
2015-07,18775,4734.0,20.0
2015-08,18980,4800.0,22.0
2015-09,18516,4518.0,14.0
2015-10,19850,4817.0,24.0
2015-11,18023,4362.0,26.0
2015-12,18873,4556.0,22.0
2016-01,18098,3689.0,17.0
2016-02,15987,3467.0,19.0
2016-03,18781,4823.0,11.0
2016-04,18577,5167.0,17.0
2016-05,20185,5572.0,22.0
2016-06,20712,5673.0,29.0
2016-07,19970,5723.0,21.0
2016-08,19700,5512.0,29.0
2016-09,19512,5497.0,18.0
2016-10,19677,5197.0,21.0
2016-11,19388,5108.0,18.0
2016-12,19246,4889.0,24.0
2017-01,17549,4514.0,18.0
2017-02,15836,3951.0,13.0
2017-03,19336,4448.0,17.0
2017-04,17829,4546.0,23.0
2017-05,21012,5465.0,13.0
2017-06,21373,5729.0,21.0
2017-07,19593,5452.0,32.0
